Nation,Win_%,Final_%,SF_%,QF_%,R16_%,R32_%
Spain,11.644,20.132,31.735999999999997,45.744,84.544,99.564
Argentina,10.712000000000002,19.444,34.176,62.663999999999994,84.684,99.6
Brazil,8.74,16.756,32.244,50.916,79.732,95.904
England,8.652,15.796,29.311999999999998,47.016000000000005,75.78,99.124
Portugal,8.232000000000001,15.072,25.392,40.396,57.232000000000006,98.592
France,8.092,14.908,25.119999999999997,40.007999999999996,57.476000000000006,98.636
Croatia,6.648,13.988,26.192,58.14,83.864,98.168
Italy,6.616,13.600000000000001,27.535999999999998,45.432,75.39200000000001,93.892
Netherlands,6.392,13.111999999999998,26.416,49.244,77.144,98.528
Germany,5.824,11.012,19.512,31.624000000000002,49.056,98.368
Belgium,5.604,11.264000000000001,24.096,47.176,80.904,99.252
Uruguay,4.484,9.064,16.98,29.604000000000003,46.135999999999996,97.696
USA,1.524,4.22,11.096,32.9,66.692,91.312
Japan,1.52,4.4159999999999995,12.772,31.544,57.46,91.876
Senegal,1.244,3.744,11.476,29.796,61.812,96.1
Switzerland,1.1520000000000001,3.308,9.232,21.376,47.348,77.2
Denmark,1.1119999999999999,3.3640000000000003,9.492,20.632,48.3,89.212
Colombia,0.868,2.628,7.716000000000001,17.208000000000002,41.839999999999996,92.044
Morocco,0.772,2.388,7.340000000000001,16.464000000000002,39.967999999999996,91.608
Poland,0.016,0.084,0.384,1.8800000000000001,8.04,34.355999999999995
Serbia,0.012,0.18,1.008,6.856,25.712000000000003,63.664
Austria,0.012,0.06,0.44,2.7279999999999998,13.8,57.623999999999995
South Korea,0.012,0.1,0.664,3.408,22.98,59.056
Cameroon,0.012,0.064,0.32399999999999995,1.864,15.315999999999999,45.852
Iran,0.008,0.084,0.6479999999999999,3.7479999999999998,16.672,55.864000000000004
UAE,0.008,0.08,0.428,3.712,15.536,68.792
Saudi Arabia,0.008,0.04,0.23600000000000002,1.476,7.872,40.388000000000005
Sweden,0.008,0.092,0.524,4.732,17.784,72.392
Nigeria,0.008,0.04,0.35200000000000004,2.276,9.268,36.092
Costa Rica,0.008,0.052,0.32,3.36,15.648000000000001,48.176
Paraguay,0.008,0.076,0.5760000000000001,3.424,14.951999999999998,60.716
Mexico,0.008,0.08800000000000001,0.5680000000000001,2.56,11.684,43.012
Algeria,0.008,0.032,0.256,2.252,11.984,37.132
Jamaica,0.004,0.052,0.468,3.8920000000000003,15.936,69.74000000000001
Canada,0.004,0.06,0.368,4.0,17.112,50.288
Tunisia,0.004,0.064,0.428,2.768,10.172,38.156
Scotland,0.004,0.027999999999999997,0.168,1.068,4.9799999999999995,27.764
Mali,0.004,0.11199999999999999,0.688,3.7039999999999997,15.9,54.872
Ivory Coast,0.004,0.06,0.45199999999999996,3.012,14.688,59.89600000000001
Qatar,0.004,0.02,0.08800000000000001,0.8,4.32,22.624
Egypt,0.004,0.055999999999999994,0.424,3.624,15.648000000000001,69.896
New Zealand,0.0,0.016,0.156,0.632,3.644,12.672
Ukraine,0.0,0.08800000000000001,0.676,3.392,22.584,57.748
Panama,0.0,0.036000000000000004,0.27599999999999997,2.324,12.58,39.816
Peru,0.0,0.012,0.216,1.432,7.468,31.668000000000003
Ecuador,0.0,0.044000000000000004,0.4,2.508,10.992,49.128
Australia,0.0,0.024,0.188,1.38,6.356000000000001,32.128
Iraq,0.0,0.04,0.44,3.304,15.008,53.812000000000005
