Nation,Confederation,Method
Spain,UEFA,Host
Portugal,UEFA,Host
France,UEFA,Direct
England,UEFA,Direct
Belgium,UEFA,Direct
Netherlands,UEFA,Direct
Italy,UEFA,Direct
Germany,UEFA,Direct
Croatia,UEFA,Direct
Switzerland,UEFA,Direct
Denmark,UEFA,Direct
Serbia,UEFA,Direct
Poland,UEFA,Direct
Scotland,UEFA,Direct
Austria,UEFA,Direct
Ukraine,UEFA,Direct
Argentina,CONMEBOL,Host
Uruguay,CONMEBOL,Host
Paraguay,CONMEBOL,Host
Brazil,CONMEBOL,Direct
Colombia,CONMEBOL,Direct
Ecuador,CONMEBOL,Direct
Morocco,CAF,Host
Senegal,CAF,Direct
Egypt,CAF,Direct
Nigeria,CAF,Direct
Algeria,CAF,Direct
Ivory Coast,CAF,Direct
Tunisia,CAF,Direct
Cameroon,CAF,Direct
Mali,CAF,Direct
Japan,AFC,Direct
Iran,AFC,Direct
South Korea,AFC,Direct
Australia,AFC,Direct
Saudi Arabia,AFC,Direct
Qatar,AFC,Direct
Iraq,AFC,Direct
UAE,AFC,Direct
USA,CONCACAF,Direct
Mexico,CONCACAF,Direct
Canada,CONCACAF,Direct
Panama,CONCACAF,Direct
Costa Rica,CONCACAF,Direct
Jamaica,CONCACAF,Direct
New Zealand,OFC,Direct
Sweden,UEFA,Playoff
Peru,CONMEBOL,Playoff
