Nation,Confederation,Elo,Q_rate,Recent_Form,Elo_norm
France,UEFA,2101,0.833217982292962,1.0,0.9999999791231737
England,UEFA,2082,0.9858068497153042,0.86067578499491,0.9603340091788307
Belgium,UEFA,2049,1.0,0.8606222999604162,0.8914404824333929
Netherlands,UEFA,1982,0.8842968513250442,0.8926531003518493,0.7515657463138675
Italy,UEFA,1920,1.0,1.0,0.6221294233375904
Germany,UEFA,1978,1.0,0.6857043146433351,0.7432150157992691
Croatia,UEFA,1921,0.8623434047871336,0.8754199325257845,0.62421710596624
Switzerland,UEFA,1911,0.8672720878460457,0.6434306292108386,0.6033402796797437
Denmark,UEFA,1893,0.9987223183968101,0.8128595963257639,0.5657619923640503
Serbia,UEFA,1806,0.6956762081983989,0.9278302588712815,0.3841336036715323
Poland,UEFA,1832,0.6447813786263538,0.640385556079223,0.43841335201642273
Scotland,UEFA,1809,0.7122611305750242,0.5556290749423293,0.3903966515574812
Hungary,UEFA,1786,0.6420290574153167,0.5261844637112376,0.34237995109853964
Austria,UEFA,1779,0.4959464186258894,0.8495131253679364,0.32776617269799224
Sweden,UEFA,1725,0.719878541020316,0.4624160302976658,0.2150313107509121
Ukraine,UEFA,1802,0.7679128441421688,0.6828480993213527,0.37578287315693376
Wales,UEFA,1771,0.7606869615318796,1.0,0.3110647116687952
Turkey,UEFA,1751,0.47720862714166246,0.39107729654089546,0.26931105909580255
Czech Republic,UEFA,1761,0.9653976644011713,0.7749334923383197,0.29018788538229884
Norway,UEFA,1758,0.6515427434352692,0.3355439766955899,0.28392483749634995
Romania,UEFA,1690,0.4449155829246787,0.49442976061899646,0.14196241874817497
Slovakia,UEFA,1728,0.644461276349813,0.6903051260818607,0.221294358636861
Greece,UEFA,1664,0.6142635309711886,0.7384063331169304,0.08768267040328455
Slovenia,UEFA,1660,0.3941211511020333,0.5117732554953873,0.07933193988868602
Republic of Ireland,UEFA,1622,0.6818258513199689,0.6850245206814586,0.0
Finland,UEFA,1623,0.5966478843131356,0.515912779077917,0.002087682628649632
Bosnia,UEFA,1634,0.5061696407383592,0.44497501401905404,0.025052191543795586
Brazil,CONMEBOL,2052,1.0,1.0,0.999999976415095
Colombia,CONMEBOL,1913,1.0,0.7905128078113223,0.6721697954676935
Ecuador,CONMEBOL,1814,0.7631342069753183,0.6408806349300395,0.43867923493681055
Peru,CONMEBOL,1800,0.72734277452144,0.6694346117158342,0.4056603677910291
Chile,CONMEBOL,1781,0.9548564121655736,0.7728177169737896,0.36084904809318286
Venezuela,CONMEBOL,1722,0.7737629075557205,0.9859410403007367,0.22169810797881823
Bolivia,CONMEBOL,1628,0.37872595956602184,0.42473644346231954,0.0
Senegal,CAF,1865,0.5656691029373568,0.91960870644021,0.9999999659863958
